,Pack Price
7457,4.62
2602,3.9
3183,29.0
7587,1.5
8411,7.0
1747,7.2
7520,11.22
7313,8.58
2833,80.0
1657,12.42
9288,2.21
5998,3.24
1541,2.1
1146,3.4
7363,3.89
5469,8.13
6912,4.7
1497,2.15
9406,11.22
9739,8.26
2384,12.01
3507,24.5
6684,4.25
2813,80.0
894,32.0
1518,9.45
8543,1.95
8692,12.11
1295,16.0
5351,89.0
397,11.79
10108,5.54
8906,2.73
5488,80.0
1348,26.25
4135,8.0
5988,32.0
4030,7.3
3908,89.0
1093,2.0
9050,5.5
9664,6.41
3292,7.5
8395,7.72
6178,33.85
1717,12.01
4571,80.0
10185,4.04
117,80.0
2438,11.4
4457,16.96
5325,31.0
3946,7.82
2740,350.0
3444,4.67
7454,7.72
8324,5.74
7300,13.96
1164,9.35
8170,3.81
6555,89.0
817,32.0
7636,1.95
9856,5.78
6097,38.36
6522,7.03
5295,6.2
2092,21.5
4102,32.0
8203,13.69
7854,4.64
2307,3.57
8958,2.73
1271,70.0
8392,18.9
4270,36.16
3213,4.26
4329,10.5
10293,3.55
5726,32.0
8874,9.3
5487,29.0
5806,3.55
7269,29.68
3167,9.3
6269,70.0
934,23.0
9577,7.72
2749,7.75
7259,15.04
6994,8.11
2022,15.0
9981,4.32
7123,11.34
3434,89.0
7308,6.07
2416,11.0
10007,2.02
3567,37.0
5970,6.65
7425,10.78
9194,11.46
2146,3.4
2694,11.49
6115,5.6
5770,6.85
4296,89.0
3214,4.62
154,82.19
5339,8.0
5024,5.94
2665,11.35
6209,1.56
2681,80.0
7502,2.24
4544,2.92
6007,2.35
178,350.0
5298,2.22
559,27.0
6674,8.82
6262,10.99
7407,6.52
8353,6.6
1389,11.4
7571,11.75
1751,7.12
1548,12.01
7254,13.15
1402,11.35
2760,2.24
1110,13.28
7957,15.5
3980,2.2
8248,3.33
3565,24.5
8632,7.11
2001,11.72
6955,10.78
9133,7.27
3377,32.0
845,23.0
5741,32.0
8148,8.64
7086,26.25
3222,77.7
7411,10.78
841,72.0
7302,1.9
8701,7.27
1458,139.0
4745,80.0
9200,8.58
3319,5.94
1353,7.4
404,350.0
1457,7.5
474,0.01
6803,2.44
1889,12.42
3251,7.0
2729,10.95
3687,35.0
9264,20.04
2690,3.5
8434,1.92
8547,11.22
7401,3.89
5224,32.0
2444,16.96
1912,16.0
6083,103.57
5876,4.42
8096,2.02
2368,7.4
3590,20.0
6850,7.27
6023,7.71
1590,11.4
2188,3.9
6659,13.7
2762,2.38
3247,10.5
6580,8.76
4633,3.09
371,41.1
884,139.0
2830,4.62
8900,11.35
3119,89.0
7792,3.33
4785,32.0
1380,11.4
2743,32.0
8796,10.78
6247,77.7
10002,2.33
6186,32.0
6160,2.0
3230,125.94
6372,16.96
4582,17.28
7079,2.73
3211,89.0
4815,30.82
1061,7.4
829,82.2
1039,41.1
3039,32.0
5681,8.13
3669,80.0
10019,1.95
1749,2.49
1327,3.4
5820,8.55
9445,19.92
1090,1.52
7732,3.64
6810,3.81
3389,4.0
5207,30.82
8457,7.53
4370,82.2
3400,6.75
7651,4.12
5158,32.0
7348,8.58
4528,32.0
5004,89.0
969,27.0
7887,13.49
5924,2.1
4970,60.8
1486,16.97
8857,18.9
4339,80.0
7548,11.75
8788,3.78
9808,2.18
6779,7.78
2719,6.5
5306,9.3
8506,19.92
2842,12.49
1639,20.0
5942,32.0
1745,1.9
3841,10.5
2192,26.25
4954,80.0
9114,9.81
7543,11.22
8709,12.96
4982,32.0
7749,1.9
2012,1.4
4909,24.5
7581,2.33
9572,1.95
7071,5.13
7410,6.52
7385,1.45
2876,1.25
1356,7.4
6485,89.0
9240,8.11
8660,6.76
6546,30.82
6303,10.6
8179,2.42
2366,12.01
9492,1.4
4899,1.51
6158,14.49
5696,99.4
8384,9.99
6696,11.22
2888,3.6
3261,14.65
1634,41.1
7848,5.5
7143,6.57
9926,11.75
2458,26.25
3559,6.49
7082,27.5
7283,7.72
2575,27.53
7577,8.55
6628,2.66
1262,76.0
846,32.0
4562,6.45
4940,11.4
2764,29.0
7327,4.7
6096,89.0
7710,1.95
8765,6.3
4066,32.0
1962,78.64
8986,11.22
5588,10.5
6860,3.33
4879,32.0
5621,27.6
6431,237.45
2653,11.4
9015,19.92
9203,11.15
4508,7.58
9901,19.92
317,79.99
8536,15.5
7419,4.63
6013,36.16
6775,7.78
9311,7.72
10218,20.48
5533,70.0
9350,6.66
6257,32.0
5884,18.0
1125,72.0
7829,4.0
5875,80.0
2236,4.0
4386,80.0
8184,7.72
6933,1.74
8016,2.73
1779,7.12
8617,8.5
3058,36.16
4275,5.5
4609,20.5
1363,7.4
6745,2.33
622,12.75
5366,100.0
8310,4.04
7335,4.7
7471,6.85
4498,76.72
4088,2.72
125,32.0
6466,2.92
6672,8.55
1584,7.12
4422,5.94
5528,52.8
3425,20.0
1758,9.5
5527,77.7
7169,8.26
9022,12.5
5346,7.0
6891,2.3
1203,8.76
4453,25.0
1204,1.5
2178,79.99
8842,5.09
9206,3.89
6479,22.5
5966,5.0
6697,6.42
5085,80.0
576,13.66
3558,7.33
8024,11.22
6295,30.82
9125,7.72
1244,1.45
5625,9.28
9967,11.22
1201,8.76
1177,12.01
2687,80.0
5694,89.0
7139,8.55
6469,25.3
4896,5.35
7476,3.5
4614,80.0
432,7.0
10081,1.95
271,72.0
5797,32.0
719,16.5
3811,36.0
7925,6.52
7293,7.27
1718,13.5
8321,8.11
3037,30.82
5179,24.0
6800,7.72
2408,32.0
3122,32.0
485,85.0
1979,9.35
4130,29.0
10053,6.08
5909,10.02
3664,32.0
1193,9.72
7231,2.44
6039,23.0
6690,8.5
232,2.4
3783,2.92
5273,2.12
5108,2.0
2267,11.5
7265,29.68
481,50.4
2920,7.5
44,27.0
7439,4.63
4082,89.0
4540,1.99
6377,19.32
6585,7.53
3169,32.0
958,7.0
1357,11.8
1836,8.76
1988,25.58
1783,3.2
9758,4.7
4553,66.6
3983,6.65
7431,5.5
183,2.9
8804,1.3
8266,20.22
7989,11.22
3332,90.0
621,41.1
7968,8.76
2506,238.65
3751,32.0
7239,10.29
4002,3.75
7118,15.5
5666,90.0
970,27.0
4580,32.0
7221,30.82
5833,80.0
3988,22.5
2253,11.5
1870,26.25
8381,6.52
8557,8.55
1761,7.2
6341,9.5
2473,25.45
5904,50.4
8172,2.95
4164,4.59
4531,77.7
1857,16.95
6971,2.18
3888,31.0
2855,8.5
7879,19.71
8294,8.58
6692,2.51
9873,1.5
5481,10.25
8841,11.89
561,71.99
4367,2.18
5320,10.43
686,7.0
599,23.5
5392,75.0
7445,4.64
7351,20.22
6393,6.24
9349,5.78
2812,32.0
4112,8.29
3130,1.25
223,2.9
6153,8.2
2769,89.0
3960,80.0
3013,80.0
198,11.89
346,23.0
5299,53.71
6879,1.9
5704,36.0
2933,2.37
514,110.0
4055,89.0
7256,8.26
6893,6.54
9722,13.52
1705,13.28
6815,9.62
1803,1.9
1073,26.25
6953,4.64
2441,9.35
10245,11.23
10268,6.6
9792,3.12
2129,9.5
9609,9.81
5808,80.0
4336,2.59
8241,4.6
4122,23.0
9987,1.8
5350,10.74
771,70.0
7933,5.09
9515,11.22
6999,2.6
6228,2.1
893,1.34
5001,13.49
9271,10.78
1011,75.0
26,20.0
7124,19.92
3802,22.5
6519,4.67
5591,60.82
1197,25.45
7173,5.38
7876,4.04
2461,11.4
6328,36.16
4327,6.65
5290,7.35
7315,3.33
7689,22.5
1302,12.42
1182,11.4
8263,20.22
2006,1.52
7391,1.86
8050,2.33
6578,12.59
24,71.99
4814,80.0
1837,2.9
687,350.0
32,17.0
3655,1.8
9020,2.33
6590,7.71
8454,20.99
3639,15.0
1350,2.1
4470,2.53
9656,4.3
9654,8.58
2044,11.0
7821,13.52
743,41.1
6043,27.0
8059,15.5
9442,6.57
1080,72.0
3406,45.6
9564,80.0
6669,11.22
8066,10.54
7624,11.22
6389,36.69
3997,87.46
6920,11.36
5410,2.25
9869,2.73
7245,8.26
4286,2.33
7478,7.0
3560,350.0
3612,2.25
640,41.1
4823,24.5
5796,50.0
8028,2.73
1985,3.4
8766,11.36
4988,80.0
7119,2.24
3674,89.0
1459,16.95
6720,2.33
4435,100.0
3736,27.6
8441,1.9
3262,13.49
472,23.0
2391,32.0
3321,1.9
6625,11.22
1589,11.4
5462,80.0
4951,80.0
7187,5.38
2148,1.52
1211,1.9
1474,10.68
3465,18.66
1317,26.25
3656,2.25
1452,7.5
7697,5.54
4957,33.6
1679,16.5
6717,11.22
5636,29.0
6681,11.22
4225,9.28
8302,8.51
6241,7.43
6887,9.3
6051,4.65
3384,7.33
