,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
6585,60,1697,12778.41,6725,33279.39,25.05
3169,20,27,864.0,10,512.31,1.21
958,60,240,1680.0,52,1516.05,3.29
1357,60,1893,22337.4,215,2408.91,43.78
1836,60,31240,273662.4,2832,4897.42,590.02
1988,60,3000,76740.0,187,5110.42,150.41
1783,60,288,921.6,28,896.26,1.81
9758,30,29440,138368.0,2438,5236.92,142.24
4553,120,841,56010.6,169,359.53,69.29
3983,30,14155,94130.75,1321,9726.53,155.32
7431,60,5281,29045.5,312,401.82,29.86
183,60,10080,29232.0,507,4159.45,46.77
8804,100,6778,8811.4,1358,3150.3,9.06
8266,120,13164,266176.08,2722,8604.7,329.26
7989,60,25000,280500.0,2930,42573.95,604.76
3332,100,618,55620.0,304,6363.92,119.92
621,120,10,411.0,9,807.28,0.81
7968,60,16019,140326.44,1454,5187.5,302.54
2506,1,2,477.3,6,1356.0,0.76
3751,20,11,352.0,4,526.44,0.36
7239,60,116254,1196253.66,14964,17090.0,1677.15
4002,30,672,2520.0,55,1276.53,3.53
7118,60,192,2976.0,8085,78061.3,6.42
5666,120,102,9180.0,15,845.1,17.99
970,20,3711,100197.0,1341,6112.63,196.39
4580,20,3487,111584.0,1252,5850.25,138.03
7221,120,500,15410.0,709,761.91,21.6
5833,100,2618,209440.0,1246,22614.24,345.58
3988,30,1665,37462.5,420,3900.39,46.34
2253,30,92000,1058000.0,7579,6759.28,2073.68
1870,30,12000,315000.0,1005,4407.26,504.0
8381,60,54000,352080.0,28276,46157.86,361.94
8557,60,39636,338887.8,3666,3525.04,559.16
1761,60,92933,669117.6,7011,7199.72,1311.47
6341,60,1888,17936.0,368,824.37,38.67
2473,60,15900,404655.0,1630,2217.5,793.12
5904,30,3600,181440.0,402,1924.57,355.62
8172,60,65599,193517.05,3354,7317.47,271.31
4164,30,8806,40419.54,979,6161.47,41.55
4531,100,61,4739.7,28,1001.47,7.82
1857,90,3436,58240.2,395,1848.37,93.18
6971,60,2030,4425.4,6342,3290.58,4.55
3888,20,6200,192200.0,2328,13456.05,226.22
2855,30,117359,997551.5,10329,32530.22,2150.72
7879,120,312,6149.52,80,87.87,6.32
8294,60,164250,1409265.0,19164,14509.09,1743.26
6692,60,451,1132.01,698,3865.63,1.87
9873,60,864,1296.0,56,3688.33,2.79
5481,30,56500,579125.0,7324,10500.29,595.34
8841,30,12783,151989.87,1371,7585.82,156.25
561,100,1436,103377.64,327,6687.51,165.4
4367,60,96200,209716.0,6320,33343.63,215.59
5320,30,32112,334928.16,3989,19745.22,394.21
686,60,16640,116480.0,1766,10500.0,186.37
599,60,880,20680.0,331,2771.84,40.53
5392,100,41,3075.0,28,483.68,5.07
7445,30,95597,443570.08,10656,20992.67,455.99
7351,120,8760,177127.2,1798,5856.65,219.11
6393,30,100000,624000.0,9565,60713.12,1029.6
9349,30,6714,38806.92,574,5837.94,76.06
2812,20,34,1088.0,112,3196.31,1.12
4112,60,33696,279339.84,4262,27262.44,287.16
3130,30,984,1230.0,53,938.05,1.52
223,60,6000,17400.0,581,2653.27,34.1
6153,60,11755,96391.0,1083,9046.76,159.05
2769,100,2044,181916.0,976,26014.88,300.16
3960,100,168,13440.0,73,1806.81,13.82
3013,100,1500,120000.0,714,13836.99,198.0
198,60,47879,569281.31,5311,30408.04,910.85
346,1,6998,160954.0,4913,46117.09,315.47
5299,60,4640,249214.4,685,1807.36,488.46
6879,60,372,706.8,33,951.75,0.87
5704,120,178,6408.0,90,989.0,7.93
2933,60,152535,361507.95,7698,11372.23,779.41
514,40,476,52360.0,534,9471.52,102.63
4055,100,2744,244216.0,1186,24927.19,342.39
7256,90,52,429.52,38,4718.3,0.6
6893,60,10916,71390.64,652,8242.72,88.31
