,Unit of Measure (Per Pack),Line Item Quantity,Line Item Value,Weight (Kilograms),Freight Cost (USD),Line Item Insurance (USD)
7795,60,864,6048.0,758,20499.33,7.48
120,336,8,613.76,48,3366.04,1.2
5686,120,161,16125.1,30,1072.35,34.77
2757,300,400,12328.0,454,7152.99,15.25
8828,240,2125,4462.5,796,5603.78,5.52
7443,60,71377,471088.2,6842,8689.22,484.28
1981,20,4926,157632.0,2695,11898.8,252.21
7075,60,20000,175200.0,1807,21347.2,343.39
8929,60,5000,43800.0,338,4159.73,94.43
124,60,400,2800.0,148,14.36,5.49
74,2,15,450.0,1,578.01,0.88
9164,240,3000,6300.0,1151,7086.88,7.79
5999,50,300,27300.0,160,2595.63,38.27
7336,30,67426,829339.8,7596,3567.19,1025.89
9176,60,578,2312.0,24,1506.5,2.86
6477,60,208,7040.8,16,957.88,7.24
7578,240,1177,2377.54,512,3415.72,3.92
2282,60,4460,12934.0,250,1366.22,27.89
4848,120,7031,427625.42,1720,5324.08,528.97
7218,30,1825,20075.0,119,3159.12,33.12
5617,300,1500,46230.0,1374,9299.26,64.81
2872,60,4132,52683.0,1598,12689.71,86.93
8072,60,120000,1026000.0,11057,12049.4,2212.06
1415,30,576,6768.0,47,1234.91,13.27
8249,30,35930,377983.6,4811,2486.5,467.57
4360,25,3399,67980.0,1133,8509.57,112.17
7311,30,131520,618144.0,19248,14451.69,764.64
4517,48,32,2657.28,58,836.14,3.73
6863,30,1447,6800.9,1309,12356.0,8.41
6852,30,105014,1437641.66,13392,37242.5,2015.57
1690,120,600,24660.0,859,5531.4,39.46
1102,200,5900,8260.0,2093,5962.31,13.22
1194,90,1093,16679.18,133,1759.21,32.69
7000,90,1016,9448.8,367,3783.24,9.71
8560,60,1890,4876.2,183,112.87,8.05
2155,60,7296,96890.88,824,3182.52,155.03
461,100,2059,144130.0,470,3684.28,230.61
1992,20,500,16000.0,163,7795.0,25.6
5678,20,240,7680.0,82,1504.59,10.77
6970,60,3068,7976.8,150,118.16,8.2
8855,60,19389,38778.0,1293,4916.0,39.86
6501,300,2346,72303.72,2172,31073.95,101.37
9270,60,5768,24917.76,592,598.91,25.62
1881,100,1500,120000.0,343,1645.12,192.0
7192,30,66075,592692.75,5727,14325.71,977.94
9513,240,8000,15600.0,3088,6476.69,25.74
3801,30,4536,34020.0,266,3678.45,73.35
6828,30,66637,357174.32,25523,51090.0,500.76
6739,60,98,687.96,65,1418.01,0.96
398,100,180,12600.0,43,2760.11,24.7
3588,30,40319,278604.29,3545,5953.38,600.67
5824,30,1262,28395.0,173,935.89,39.81
3647,300,2502,90472.32,2364,16956.86,195.06
3026,25,1400,28700.0,437,5924.89,29.5
2528,240,10996,68175.2,3967,13094.92,109.08
3241,20,32,1024.0,17,703.25,1.27
4205,300,304,9369.28,278,5656.74,9.63
3061,60,10158,71918.64,941,1934.17,100.83
5468,60,1014,7098.0,247,3584.08,8.78
6919,60,1700,3791.0,2699,4063.81,4.69
2140,240,1004,6224.8,358,1778.7,9.96
1049,60,564,4596.6,34,1920.0,7.35
6369,120,50,4199.01,10,435.0,9.05
9277,60,15000,97800.0,15659,10925.34,100.54
7484,60,35300,309228.0,3190,11637.64,606.09
4342,30,35357,150620.82,2806,7292.27,248.52
10246,60,45950,372654.5,6061,6901.96,383.09
5292,60,25572,281036.28,3572,10657.33,463.71
3099,60,59,388.81,23,1067.02,0.48
4872,60,300,2712.0,44,1075.54,5.85
5555,30,14000,203000.0,1428,9061.84,251.11
4483,100,450,40050.0,188,2997.85,49.54
548,30,1400,23100.0,405,3616.95,36.96
7395,120,25482,521871.36,7140,47532.09,536.48
6076,30,983,3184.92,93,668.75,3.94
8827,240,1090,2289.0,408,5580.44,2.35
4673,30,1558,35055.0,195,3387.72,49.15
6087,300,5362,165256.84,5060,44952.61,169.88
7461,30,42812,410995.2,4875,23688.4,422.5
3066,120,150,11250.0,49,475.0,15.77
7703,60,50000,125500.0,14810,16532.5,175.95
4077,30,33936,156784.32,14925,22100.46,161.17
7494,30,21563,124634.14,1864,8485.0,244.28
2501,100,2000,278000.0,1415,4458.0,444.8
3086,100,2500,200000.0,1036,17579.56,247.4
4098,100,5884,523676.0,3435,34730.62,538.34
6774,30,10000,167300.0,1133,6079.27,234.55
1249,25,8000,160000.0,2366,13952.38,256.0
2722,20,32,1024.0,54,2734.02,1.05
4287,60,1000,5940.0,116,1105.6,6.11
5578,120,3434,208855.88,826,3315.82,258.35
851,100,5,1750.0,12,810.85,3.43
5318,20,832,24128.0,238,1945.45,29.85
6426,100,2943,235440.0,1280,23270.25,291.24
8710,30,100000,1052000.0,14783,14547.55,1301.32
8546,60,41142,103266.42,2822,12601.12,170.39
7769,30,17310,182101.2,2291,10542.15,225.26
516,20,6760,216320.0,2261,17643.81,423.99
2617,60,14600,172280.0,1657,9995.55,337.67
4063,30,21146,86698.6,1301,5664.49,143.05
2341,60,4836,99138.0,531,3228.0,158.62
3236,100,6110,543790.0,2474,31305.04,559.02
2844,30,400,9304.0,40,642.45,10.95
9379,60,20579,180272.04,1773,9736.1,388.67
3703,20,44,1276.0,15,218.75,1.79
7599,30,50000,441000.0,4502,12601.07,727.65
7008,30,19086,88368.18,2389,10011.25,90.84
1119,60,51293,77965.36,3371,11862.2,124.74
2999,20,25,800.0,159,2395.42,0.99
3016,120,646,12480.72,166,737.11,15.44
3630,60,15400,27720.0,2486,3775.5,32.63
5483,120,3393,73967.4,901,7326.63,76.04
5804,30,20000,480000.0,6223,82236.74,940.8
169,20,6040,193280.0,2052,24689.0,309.25
4054,300,1083,39161.28,1257,22837.98,84.43
8423,30,63732,748851.0,5144,11637.64,1467.75
4981,30,32083,144694.33,2808,630.5,311.96
7281,60,15393,33248.88,768,5213.54,46.61
5845,60,46100,83441.0,2350,10627.8,103.22
9595,60,1319,10552.0,108,1618.01,14.79
1727,120,2580,106038.0,587,1153.97,169.66
5972,60,7867,28321.2,811,5915.63,29.11
1370,30,12304,322980.0,5197,21895.01,633.04
4151,30,116000,815480.0,7965,13688.03,1758.17
7487,30,5323,30766.94,456,5338.55,66.33
839,3,10,152.5,7,526.05,0.3
3330,20,873,27936.0,292,6233.79,46.09
2197,30,45000,1181250.0,3951,11584.54,1890.0
2655,60,9310,29792.0,376,2342.92,58.39
9222,30,72300,240759.0,4392,18607.76,337.54
6521,30,14802,23091.12,951,7326.62,23.74
5447,300,150,4623.0,170,2265.89,5.44
9872,60,60683,456942.99,3325,3379.64,895.61
10186,240,2280,4446.0,845,5435.44,5.5
4740,60,70030,513319.9,3534,17919.41,1106.72
10292,30,27365,125605.35,2885,2564.94,129.12
9489,60,32000,264320.0,3026,14406.99,436.13
176,20,832,26624.0,832,3740.04,42.6
171,20,289,7803.0,79,1104.69,15.29
1326,30,15000,393750.0,1365,9904.65,630.0
725,100,213,2.13,14,180.0,0.0
2763,30,100986,343352.4,10579,41585.93,481.38
8921,60,1600,14016.0,13,1758.6,30.22
9210,30,1200,0.0,80,1532.73,0.0
2149,30,32997,409822.74,2867,10288.1,655.72
3944,20,137,4384.0,62,1367.59,6.15
4138,60,5513,32747.22,640,6185.25,40.51
1546,60,4,105.2,1,165.0,0.21
2862,60,36426,296143.38,4609,17581.92,366.33
5383,100,350,28000.0,143,2508.46,28.78
4511,30,1764,3951.36,106,1615.07,5.54
4469,60,210,1554.0,36,677.4,2.18
5728,100,66,5280.0,30,1470.09,7.4
1319,60,50000,472500.0,4657,2348.92,756.0
5329,180,192,3256.32,54,290.0,6.38
9927,30,2500,29375.0,225,6147.18,63.33
1640,120,4000,164400.0,870,1149.57,263.04
2688,30,305,7777.5,34,836.8,10.9
9483,60,81270,451861.2,8491,10605.03,745.57
9387,60,2788,43214.0,588,5121.68,93.17
8055,30,57456,255679.2,4720,18611.92,551.24
1586,30,25000,250000.0,2068,8502.12,490.0
5069,60,28755,74763.0,3392,20294.85,161.19
3001,120,15560,287393.2,3834,16386.12,295.44
6502,336,50,1918.0,154,1176.03,4.14
9269,30,2158,12386.92,196,3009.33,12.73
5780,100,1044,83520.0,499,9894.85,117.1
463,20,5900,188800.0,1989,19569.48,370.05
4369,20,220,5940.0,115,7883.32,12.81
266,40,140,15400.0,158,4318.21,30.18
5357,30,64738,506251.16,4457,3646.13,1091.48
7447,60,19996,78984.2,1119,1417.12,81.2
10276,30,57000,263340.0,5735,20138.0,270.71
4378,100,7110,568800.0,1224,11847.25,1226.33
5956,300,760,23423.2,757,10365.14,28.97
6508,30,1000,20000.0,140,2782.77,20.56
8069,30,105,892.5,10,3403.99,1.92
1052,60,3145,9560.8,206,2731.58,15.3
6453,60,34900,63169.0,1588,11413.52,78.14
1372,60,500,1450.0,26,1096.71,2.84
214,25,108,4050.0,34,648.27,7.94
9172,60,107832,754824.0,8744,12651.44,1058.26
1133,60,20284,192698.0,1897,3826.17,308.32
5225,100,33,3223.44,8,1011.6,5.32
6593,240,3648,7368.96,2571,26830.44,15.89
2066,60,20000,58000.0,2190,7573.92,125.05
3302,60,10620,27505.8,593,730.81,53.91
2733,30,14448,46667.04,2284,13257.25,57.73
344,60,1440,10440.0,128,2147.61,20.46
9257,240,3393,7125.3,1273,4783.36,7.32
5699,30,62369,268186.7,5009,17031.91,578.21
8318,30,27900,129456.0,17018,19564.23,133.08
8166,30,78082,418519.52,7490,15299.59,690.56
5519,20,167,4843.0,50,1128.74,7.99
8458,60,40000,448800.0,4693,9736.1,967.61
4431,20,2730,87360.0,890,11367.59,108.06
5823,120,112,10080.0,16,1000.94,19.76
6733,60,28,308.0,13,912.36,0.43
4338,30,66960,320738.4,7549,26095.99,449.68
912,100,10,3500.0,24,1091.64,5.6
1278,30,100,224.0,118,1616.04,0.36
7817,30,3859,15590.36,242,3128.55,19.29
6776,240,60968,118887.6,53692,29683.06,166.68
1780,30,143,3753.75,14,6443.61,7.36
1477,90,400,6400.0,38,1161.13,10.24
5906,60,4680,51433.2,487,3463.53,52.87
4759,60,151,2399.39,749,7488.39,5.17
2766,120,3812,231845.84,824,3216.15,325.05
6818,90,4120,30076.0,253,4261.03,42.17
1304,180,5538,276900.0,1230,4680.1,443.04
7931,120,100,1864.0,21,632.63,2.19
7438,60,157062,347107.02,15302,12757.0,356.83
3393,30,4816,96320.0,647,4444.33,119.15
7932,120,240,4646.4,58,1289.48,5.47
6510,3,10,250.0,6,337.89,0.49
9588,30,51240,200348.4,4331,8684.7,280.89
6939,30,25000,83250.0,3591,21593.88,116.72
4519,100,9575,766000.0,3890,29244.02,787.45
4405,100,2161,155592.0,1051,16633.36,335.46
9019,60,8640,129945.6,777,3274.41,214.41
4903,100,6340,564260.0,2571,37297.95,580.06
8726,60,225,508.5,81,1641.0,0.63
3996,60,8366,62159.38,458,1697.9,134.02
6847,60,1731,3912.06,76,936.81,4.84
4910,60,11022,21933.78,1976,12580.0,22.55
7009,60,17246,116065.58,1519,1932.67,119.32
5634,60,28800,74880.0,3396,16416.58,161.44
394,100,20,7000.0,48,684.42,13.72
5709,20,794,25408.0,277,3174.13,49.8
6837,30,7126,97554.94,2261,13252.2,136.77
7702,30,1161,6431.94,2566,16532.5,9.02
2228,60,11661,132935.4,1311,11492.86,260.55
8716,120,3831,83439.18,1094,20761.0,103.21
9296,90,3969,17542.98,561,251.42,18.03
3143,30,1249,34472.4,145,1682.15,42.64
9279,60,57859,215814.07,3090,17858.3,266.96
2249,30,1428,3198.72,83,7789.85,6.27
3756,168,346,49824.0,268,666.66,107.42
4390,20,52,1664.0,24,1170.36,2.06
914,20,120,3240.0,35,379.62,5.18
2472,30,121280,1425040.0,9813,9341.49,2793.08
6284,60,10000,81000.0,1463,12498.65,83.27
6744,60,6,13.98,6,522.42,0.02
5943,100,8,560.0,3,690.02,1.1
3025,100,2586,230154.0,1231,28132.96,379.75
5370,25,3800,77900.0,1267,12711.93,96.36
6871,30,31000,401760.0,3674,22904.03,496.98
2469,30,536,9112.0,41,2233.61,17.86
6411,30,72091,789396.45,6842,73790.43,1547.22
8360,30,3240,33210.0,614,4373.84,34.14
1713,90,105,1680.0,14,1015.24,2.69
6415,100,3135,250800.0,1272,16856.6,257.82
1183,60,47392,341222.4,7113,3599.76,668.8
10310,60,18000,64800.0,2253,3785.72,76.27
7460,60,34000,181220.0,2300,5613.0,186.29
8770,60,255001,2106308.26,60779,30936.1,2605.5
5795,30,9051,11313.75,575,3231.11,14.0
4042,60,3434,7726.5,876,2183.92,10.83
8471,60,20000,224400.0,2560,20654.81,483.81
9661,60,96800,223608.0,11808,17650.15,276.6
9610,60,24732,190931.04,2143,6323.1,267.69
3380,120,63,4195.8,57,548.2,5.88
7334,30,26000,152620.0,3888,8057.19,188.79
7696,30,190000,2857600.0,21534,13914.56,4006.36
4764,60,78000,170040.0,5163,41158.49,174.8
7181,240,2350,4935.0,904,573.43,8.14
5639,60,20000,221800.0,2069,9716.76,228.01
10090,60,50000,490500.0,5625,11702.27,687.68
9166,60,10000,129600.0,1033,7951.22,160.32
3812,120,120,7992.0,26,240.0,9.89
5914,100,3176,282664.0,1288,16002.97,290.58
8714,30,46600,490232.0,6107,23753.64,687.31
7355,60,1700,3791.0,75,1556.99,4.69
6046,50,500,45500.0,284,32609.44,63.79
9903,30,3000,59760.0,329,9736.1,128.84
5399,20,340,9860.0,128,810.96,13.82
6721,30,5950,53371.5,631,15322.73,88.06
3474,100,9241,822449.0,3744,57484.06,1017.37
2570,84,1358,13023.22,387,2107.14,20.84
2142,30,19000,228190.0,1485,3016.95,365.1
4355,720,2500,105000.0,1725,11954.71,147.21
2885,25,10000,200000.0,3335,23650.43,330.0
7865,120,49000,926100.0,11107,5982.43,952.03
4261,100,32,800.0,68,555.49,0.94
4332,60,2706,18536.1,346,9539.6,39.96
6635,240,672,9139.2,2979,3365.45,19.7
9556,60,87499,213497.56,9645,27441.22,299.32
2723,240,1832,3847.2,3504,7117.39,4.76
5640,20,19,551.0,5,296.52,0.77
5438,120,22600,678000.0,5734,24624.0,950.56
9683,120,17167,347116.74,3547,6052.1,429.38
3961,30,46749,560520.51,7500,19116.64,785.85
7368,60,64000,144640.0,3887,21032.82,178.92
6422,60,120,6660.0,11,260.0,8.24
4502,20,47,1504.0,15,870.22,2.11
2851,60,23040,186854.4,3138,16537.12,192.09
4399,240,10603,23962.78,3818,11234.1,39.54
2565,60,3847,28467.8,408,1514.68,45.55
7809,60,12000,102960.0,1749,20225.07,127.36
2370,30,33787,419634.54,6081,3316.9,671.42
3921,60,780,5343.0,102,1743.84,6.61
7798,60,638,1212.2,45,747.76,1.5
3024,60,1082,6221.5,2228,3565.08,7.7
4856,100,2744,244216.0,1235,25577.2,342.39
258,120,73,3000.3,69,1332.43,5.88
4575,1,215,1075.0,41,1001.02,1.51
7767,60,15795,135521.1,2234,6582.95,167.64
3264,1,7199,23396.75,369,1014.5,38.6
5377,100,2127,170160.0,881,14019.38,210.49
4701,120,20000,674000.0,4727,21584.02,1112.1
7546,60,7000,78540.0,922,6147.18,169.33
7170,30,99366,429261.12,8045,13511.49,708.28
8157,60,13127,32948.77,1252,6079.27,46.19
1482,30,50000,100000.0,3584,8405.91,160.0
2724,20,350,9450.0,205,1437.4,18.52
8985,60,800,13152.0,364,2700.18,28.36
4215,100,2591,201320.7,994,12838.85,332.18
3195,30,108129,489824.37,9280,15331.51,1056.06
5739,60,642,3813.48,83,929.85,4.49
7961,60,16539,40355.16,796,4234.42,79.1
9552,60,15000,219450.0,1485,8510.82,307.67
9482,60,26000,187460.0,1405,3949.19,309.31
7423,60,11688,25129.2,1673,5364.61,25.83
10168,60,42773,96666.98,2270,4356.75,119.58
3378,100,30,10500.0,72,1765.54,14.72
4543,240,2286,3451.86,972,7719.0,3.55
3768,60,4848,31463.52,415,1009.6,38.92
1536,60,1350,12757.5,239,1277.22,20.41
10167,30,69963,906720.48,7819,7108.78,1121.61
1280,30,1,2.0,63,598.08,0.0
7530,60,2000,2820.0,98,2201.14,6.08
9025,240,4000,7800.0,1496,5752.74,10.94
3003,30,373,8675.98,55,17.72,10.73
3242,20,450,14400.0,165,2329.14,17.81
3875,30,4913,117912.0,1639,2277.0,231.11
3402,100,7409,575679.3,1275,15873.44,949.87
1523,60,14044,42693.76,732,2963.8,68.31
28,25,10000,200000.0,3335,28359.8,320.0
4187,60,4250,34170.0,424,1488.99,40.22
9866,30,32660,188774.8,2804,5050.8,370.0
3981,60,35364,96190.08,3793,8527.45,158.71
5126,100,2744,244216.0,1235,25577.2,342.39
8898,30,572,1281.28,33,1062.95,2.76
954,540,34,1547.68,159,1976.57,2.48
1451,240,397,8356.85,141,411.07,13.37
3754,30,595,12048.75,87,255.0,25.98
7526,60,5000,36050.0,276,2211.22,77.72
6171,60,80,475.2,8,737.12,0.59
3428,20,2000,64000.0,682,7258.89,125.44
1568,60,6385,15579.4,327,1762.5,30.54
9070,30,39680,219827.2,3329,27441.25,308.2
235,100,1680,117600.0,382,3241.06,230.5
2823,240,464,858.4,437,1222.31,1.06
3420,60,57364,129069.0,5468,48501.5,180.95
5556,60,39449,319536.9,5714,20416.03,395.27
9934,60,9200,52716.0,668,2633.57,113.66
7644,60,85919,709690.94,8754,15322.73,1170.99
8891,240,4464,8570.88,1655,1211.48,16.8
6504,30,63652,203049.88,3963,12961.76,251.17
1918,30,37258,462744.36,3195,36417.89,740.39
1206,240,4315,9061.5,2520,25874.1,17.76
8790,240,30,251.4,11,871.8,0.26
9223,60,290000,1087500.0,16192,18090.64,1345.24
3596,100,70,6230.0,33,1255.77,10.28
6753,60,100000,258000.0,18672,25231.96,361.72
2096,60,79029,282133.53,7393,30412.53,451.41
6548,60,37366,78468.6,2162,3324.85,110.01
4349,30,168,2184.0,2046,14405.31,4.71
3267,30,2100,42000.0,293,3316.79,51.95
2860,30,137654,944306.44,9147,11314.2,1558.11
262,60,26932,317528.28,3393,30661.5,622.36
7678,60,52164,134583.12,12347,16978.83,222.06
9688,30,3316,44832.32,292,2593.56,55.46
4226,30,54684,327557.16,3889,31784.09,642.01
921,100,3,417.0,2,1800.33,0.82
318,100,3199,255888.01,550,8213.59,409.42
10052,60,19705,50838.9,1095,4405.24,83.88
4241,300,12,729.84,39,790.71,0.75
4234,30,108677,722702.05,10144,8809.08,1192.46
143,60,25000,187500.0,2348,21439.59,300.0
4411,120,98,12362.16,18,586.16,20.4
6992,30,19356,261112.44,1960,7009.0,268.42
5391,30,900,21600.0,300,3489.46,46.57
6105,300,2265,69807.3,2272,13303.8,71.76
8259,90,10000,73000.0,684,1026.49,90.3
8748,30,100619,1237613.7,47387,30981.39,1530.93
2948,60,26663,176242.43,4233,26663.64,181.18
6232,30,1000,13000.0,68,1001.12,28.03
7701,120,25024,733453.44,30606,9601.38,1028.3
6166,20,3678,106662.0,1056,12363.35,149.54
5661,30,45632,210819.84,4486,20394.49,216.72
3791,30,40705,549110.45,3948,24035.49,679.25
7177,30,100654,868644.02,9629,21326.73,1433.26
6306,30,514,14186.4,55,758.65,17.55
475,60,18560,168896.0,1698,16414.22,331.04
9867,60,192,2976.0,40,12016.69,6.42
251,60,7840,71344.0,719,853.88,139.83
4144,30,31,185.69,4,889.55,0.36
5434,100,30,10500.0,75,1406.75,12.99
7126,60,87071,224643.18,6291,20265.0,484.33
3991,100,1070,85600.0,532,14423.28,141.24
369,100,386,27020.0,88,3936.25,52.96
7378,60,23000,154790.0,8701,3975.7,159.12
1811,30,149824,3932880.0,13037,7445.8,7708.44
1281,60,1650,22275.0,197,1637.0,35.64
7779,30,120000,1262400.0,17470,20666.07,1561.59
5729,336,44,1687.84,116,985.78,3.31
10031,240,369,774.9,103,2270.54,1.09
5939,100,3250,260000.0,979,9507.81,509.6
2663,60,18180,206343.0,2047,6739.08,404.43
7306,240,1944,3596.4,682,8118.08,4.45
6785,30,50000,190500.0,4944,21347.13,267.08
1261,90,1064,17024.0,128,944.21,27.24
5343,120,502,18072.0,119,923.18,18.58
591,100,1396,100498.04,414,5781.14,196.98
6583,60,76000,506160.0,8701,15332.68,992.07
6746,60,7548,110427.24,13472,11292.05,154.82
3469,30,1400,31500.0,364,4171.65,44.16
3863,100,5486,438880.0,2224,21346.47,451.17
5520,30,2910,13444.2,352,2429.39,13.82
3282,240,20000,185600.0,7656,9650.6,306.24
480,100,10000,80000.0,400,4856.14,156.8
7002,30,189,691.74,15,925.6,0.71
10203,30,31760,192783.2,2875,14275.5,238.47
7726,30,41514,222515.04,4052,15459.09,311.97
3663,100,695,61855.0,351,6445.68,86.72
8095,30,27975,126447.0,1704,16881.16,208.64
3705,60,3500,23975.0,442,6776.8,24.65
2260,60,76000,541120.0,5597,1799.88,1060.6
5130,30,7035,105525.0,440,2242.71,130.53
6817,120,503,13430.1,123,1783.64,18.83
4317,30,18273,84421.26,2001,7842.4,86.79
7835,30,25511,303325.79,3041,3526.69,375.21
3843,60,25687,166708.63,2184,15041.23,171.38
9189,60,59680,512054.4,9886,58707.0,633.41
4974,30,36000,378000.0,4171,20371.77,388.58
4095,60,38400,112128.0,4528,6369.79,241.75
6385,240,50000,103000.0,18467,6617.84,169.95
616,1000,12,629.88,12,536.78,1.23
5697,240,19050,60007.5,7349,4876.34,129.38
1737,60,948,1469.4,127,4984.4,2.88
8927,60,330,2547.6,71,1721.53,5.49
7872,240,2125,3463.75,759,9664.79,3.56
4161,100,3000,233100.0,679,11163.49,502.56
4101,30,7882,25458.86,472,6969.97,31.49
10255,120,5337,100869.3,1089,3730.8,103.69
1741,60,2780,25993.0,262,2426.8,50.95
9675,30,125320,1318366.4,16498,10825.06,1630.82
2716,100,377,30160.0,172,4504.46,49.76
9877,60,19056,166930.56,1517,6036.96,359.9
7088,240,1417,2593.11,538,2195.9,5.08
4281,100,3000,240000.0,1428,25760.94,336.48
3976,336,60,4603.2,170,4256.38,9.92
6895,60,1016,5669.28,615,8420.68,7.01
2908,30,319,7419.94,1736,5265.22,9.18
1264,120,3200,131520.0,749,2717.0,210.43
2049,60,108,162.0,78,6811.4,0.32
6985,60,50847,200845.65,2372,2599.36,206.47
1252,60,1859,6320.6,214,891.0,10.11
1686,25,3508,70160.0,1052,4641.85,112.26
8074,60,630,882.0,485,947.52,1.46
5925,100,6101,542989.0,2471,35912.43,558.19
1503,40,710,53960.0,771,3256.0,86.34
3035,60,168711,416716.17,8183,12225.76,898.44
5608,20,167,5344.0,60,911.32,7.49
9469,60,22623,56783.73,2809,13398.06,93.69
9951,60,34650,89397.0,3934,20264.93,192.74
64,60,42000,60900.0,2600,10179.16,97.44
8447,30,4200,21546.0,238,2021.53,46.45
5655,300,100,6082.0,164,742.1,8.53
6189,60,25097,205795.4,3167,16189.27,211.56
5837,60,6934,18028.4,820,18044.49,38.87
164,100,650,51993.5,148,2577.27,83.19
7565,30,99404,449306.08,6960,29545.05,968.7
6861,60,2208,18944.64,652,3763.2,23.43
6020,100,150,10500.0,37,2541.8,20.58
5448,30,136980,589014.0,10832,10283.25,971.87
4534,60,19836,167019.12,1820,698.0,275.58
3904,120,165,15140.4,24,297.0,24.98
3570,20,3140,100480.0,1024,10304.62,124.29
2962,30,414,11426.4,45,753.35,11.75
2871,30,2225,44500.0,174,2052.97,73.42
7015,60,350505,2705898.6,72975,129843.24,2781.66
5457,300,252,7766.64,316,2905.84,9.14
2011,60,19290,138888.0,2096,19495.73,272.22
4666,60,176100,427923.0,24219,23736.39,922.6
3270,60,89674,243913.28,9667,17703.62,402.46
4900,300,51,4192.2,99,1454.81,6.92
7059,60,23,356.5,379,1945.66,0.7
4573,20,3049,82323.0,904,7208.0,177.49
6727,60,1500,12390.0,147,1182.25,17.37
5857,30,7108,138606.0,949,8024.1,163.14
7717,240,4000,8400.0,1596,16840.67,11.78
9601,30,10080,144950.4,1143,8158.93,203.22
5600,100,7500,582750.0,1703,25501.1,961.54
7404,60,380,2120.4,21,895.38,2.18
4655,60,1592,12799.68,167,1923.14,13.16
234,30,25000,1260000.0,2067,7933.38,2469.6
7248,100,725,58000.0,225,1482.7,81.32
9894,60,3319,9060.87,699,3952.34,19.54
9100,60,25,33.0,5,931.34,0.05
6346,60,204713,736966.8,11430,22059.25,757.6
6176,336,335,12850.6,146,4701.1,27.71
8685,60,216,285.12,165,3048.08,0.35
770,30,84,1540.56,4,390.81,3.02
4661,100,6290,503200.0,2995,57933.93,705.49
6934,240,1222,2175.16,825,6380.09,2.24
7893,30,350000,3416000.0,41041,40616.15,4020.63
3532,30,88289,610076.99,7540,5460.48,1315.33
1463,30,23814,387215.64,2102,5834.0,619.55
7482,30,3760,37600.0,315,5254.17,73.7
3475,1,505,12372.5,367,3638.86,17.35
1340,60,11640,90210.0,16778,9043.65,144.34
4703,100,2000,700000.0,5006,88560.19,865.9
6026,30,21896,145608.4,2044,5768.66,240.25
2304,240,350,7525.0,124,874.57,12.04
7085,60,1227,10748.52,107,9736.1,23.17
974,20,2086,66752.0,707,5926.53,130.83
7298,60,10125,73608.75,1887,12736.25,103.2
6367,60,60,356.4,13,707.19,0.44
1328,100,240,1200.0,751,190.06,1.92
810,20,289,7803.0,84,1550.95,15.29
1051,100,302,24160.0,98,1266.39,38.66
1385,30,4000,48040.0,8523,35673.58,94.16
3455,100,950,66500.0,216,3744.18,130.34
2346,60,58680,199512.0,5557,15245.25,319.22
6687,90,1280,12403.2,177,13398.06,20.47
4805,100,898,79922.0,364,6522.64,98.86
8616,30,24126,94332.66,1444,15842.34,132.25
890,20,600,19200.0,205,6148.29,37.63
6085,240,50000,103000.0,18462,22647.81,169.95
2599,200,1500,2100.0,235,3022.74,3.36
7903,30,2361,24200.25,1255,4438.0,28.48
7462,60,177285,1368640.2,41904,84944.83,1406.96
8715,60,120000,271200.0,11419,11941.65,335.47
7822,120,40435,817595.7,9966,49199.75,1011.37
5539,300,340,10478.8,336,5755.58,12.96
2993,60,426,11114.34,45,1013.19,23.96
1582,30,11000,126500.0,966,7329.83,247.94
8247,30,176213,2283720.48,19962,31401.08,2824.96
9493,60,1917,13821.57,2629,3139.96,22.81
5885,100,2500,200000.0,1010,8399.6,205.6
3179,120,5188,315534.16,1138,3622.58,442.38
10272,30,2400,32376.0,213,1422.54,33.28
10158,30,18216,110571.12,1500,7513.5,136.78
1883,60,1629,5978.43,152,912.45,9.57
8670,60,70647,156836.34,4067,14050.13,219.88
917,100,463,64357.0,450,4360.83,102.97
2410,30,1166,2332.0,71,1240.0,4.57
51,100,5498,439785.02,1251,16090.22,703.66
2522,60,1350,12825.0,80,739.0,20.52
517,270,820,73074.13,424,3310.89,143.23
5386,100,3200,256000.0,1526,27952.72,422.4
6293,60,33207,242411.1,1720,3787.71,399.98
1337,60,66268,490383.2,6606,22666.98,784.61
1601,30,25000,293750.0,2023,9341.49,575.75
7816,30,130437,1454372.55,18633,26340.0,1799.06
9066,60,326131,3587441.0,46522,27441.22,5029.59
2643,60,135000,972000.0,10053,10211.52,1905.12
8575,60,5184,77760.0,1103,3296.34,128.3
9802,120,11728,227054.08,2932,8936.06,233.41
5936,1,5994,146853.0,3996,53062.21,150.96
1659,100,4000,288000.0,2526,1871.05,460.8
6324,30,2100,42000.0,293,3169.34,51.95
1241,20,500,13500.0,115,1352.0,21.6
8039,30,27304,118499.36,13087,56372.66,255.48
8160,60,69037,168450.28,4353,5530.11,277.94
7722,30,33373,121477.72,2870,14974.6,170.31
6623,30,30000,597600.0,3289,9736.1,1288.43
1715,60,9367,72594.25,1955,6923.3,116.15
5032,60,10,13.0,1,618.89,0.02
3199,90,22643,225977.14,3000,4573.21,487.21
5702,30,450,10467.0,56,520.19,10.76
3638,30,1700,40800.0,604,8823.41,87.96
6826,60,16870,40825.4,7973,51090.0,57.24
6693,60,15107,124783.82,1409,10928.52,205.89
4789,30,112595,728489.65,7991,9972.68,1202.01
10256,60,86008,697524.88,11117,15617.93,717.06
7294,240,738,1439.1,112,9687.69,1.78
